artist_name,album_title,total_sales
Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",35.82
The Office,"The Office, Season 3",31.84
Chico Buarque,Minha Historia,26.73
Heroes,"Heroes, Season 1",25.87
Lost,"Lost, Season 2",25.87
Lenny Kravitz,Greatest Hits,25.74
Eric Clapton,Unplugged,24.75
Battlestar Galactica,"Battlestar Galactica, Season 3",23.88
Lost,"Lost, Season 3",21.89
Titãs,Acústico,21.78
Lost,"Lost, Season 1",19.9
Kiss,Greatest Kiss,19.8
The Who,My Generation - The Very Best Of The Who,18.81
Creedence Clearwater Revival,"Chronicle, Vol. 2",18.81
Caetano Veloso,Prenda Minha,18.81
Creedence Clearwater Revival,"Chronicle, Vol. 1",17.82
Os Paralamas Do Sucesso,Acústico MTV,17.82
Green Day,International Superhits,17.82
U2,Rattle And Hum,16.83
Guns N' Roses,Use Your Illusion I,16.83
Gene Krupa,Up An' Atom,16.83
R.E.M.,The Best Of R.E.M.: The IRS Years,16.83
Chico Science & Nação Zumbi,Afrociberdelia,15.84
U2,Instant Karma: The Amnesty International Campaign to Save Darfur,15.84
Toquinho & Vinícius,Vinícius De Moraes - Sem Limite,14.85
Os Paralamas Do Sucesso,Arquivo Os Paralamas Do Sucesso,14.85
Antônio Carlos Jobim,Chill: Brazil (Disc 2),14.85
Eric Clapton,The Cream Of Clapton,14.85
Soundgarden,A-Sides,14.85
Green Day,American Idiot,14.85
Lost,"LOST, Season 4",13.93
Queen,Greatest Hits II,13.86
R.E.M.,New Adventures In Hi-Fi,13.86
Elis Regina,Elis Regina-Minha História,12.87
Faith No More,Angel Dust,12.87
Faith No More,Album Of The Year,12.87
Gilberto Gil,Quanta Gente Veio Ver (Live),12.87
O Terço,Compositores,12.87
Smashing Pumpkins,Rotten Apples: Greatest Hits,12.87
The Office,"The Office, Season 2",11.94
James Brown,Sex Machine,11.88
Tim Maia,Serie Sem Limite (Disc 2),11.88
Amy Winehouse,Back to Black,11.88
Metallica,Garage Inc. (Disc 2),11.88
Cássia Eller,Cássia Eller - Coleção Sem Limite [Disc 2],11.88
Bruce Dickinson,Chemical Wedding,11.88
Titãs,Volume Dois,11.88
Metallica,ReLoad,11.88
System Of A Down,Mezmerize,11.88
Os Paralamas Do Sucesso,Arquivo II,11.88
Queen,News Of The World,11.88
Tim Maia,Serie Sem Limite (Disc 1),11.88
Kiss,Unplugged [Live],10.89
Queen,Greatest Hits I,10.89
Iron Maiden,The X Factor,10.89
Various Artists,Vozes do MPB,10.89
Metallica,Kill 'Em All,10.89
Spyro Gyra,Heart of the Night,10.89
Body Count,Body Count,10.89
Metallica,Load,10.89
U2,The Best Of 1980-1990,10.89
Smashing Pumpkins,Judas 0: B-Sides and Rarities,10.89
U2,War,10.89
U2,B-Sides 1980-1990,10.89
Marvin Gaye,Seek And Shall Find: More Of The Best (1963-1981),9.9
Van Halen,"The Best Of Van Halen, Vol. I",9.9
Frank Sinatra,My Way: The Best Of Frank Sinatra [Disc 1],9.9
Olodum,Olodum,9.9
Metallica,Master Of Puppets,9.9
Ozzy Osbourne,Tribute,9.9
Judas Priest,Living After Midnight,9.9
AC/DC,For Those About To Rock We Salute You,9.9
U2,How To Dismantle An Atomic Bomb,9.9
Red Hot Chili Peppers,Blood Sugar Sex Magik,9.9
Raul Seixas,Raul Seixas,9.9
Stone Temple Pilots,Core,9.9
Led Zeppelin,BBC Sessions [Disc 2] [Live],9.9
The Clash,The Singles,9.9
Aerosmith,Big Ones,9.9
U2,Pop,9.9
The Tea Party,Tangents,9.9
Guns N' Roses,Use Your Illusion II,9.9
Passengers,Original Soundtracks 1,8.91
Spyro Gyra,Morning Dance,8.91
Iron Maiden,Powerslave,8.91
Metallica,Black Album,8.91
Red Hot Chili Peppers,Californication,8.91
Iron Maiden,The Number of The Beast,8.91
Led Zeppelin,Led Zeppelin I,8.91
Pearl Jam,Live On Two Legs [Live],8.91
Gonzaguinha,Meus Momentos,8.91
R.E.M. Feat. Kate Pearson,Out Of Time,8.91
Faith No More,King For A Day Fool For A Lifetime,8.91
Guns N' Roses,Appetite for Destruction,8.91
Zeca Pagodinho,Ao Vivo [IMPORT],8.91
Legião Urbana,A TempestadeTempestade Ou O Livro Dos Dias,8.91
Chico Science & Nação Zumbi,Da Lama Ao Caos,8.91
Led Zeppelin,Led Zeppelin III,8.91
U2,Zooropa,8.91
Stevie Ray Vaughan & Double Trouble,In Step,8.91
Djavan,Djavan Ao Vivo - Vol. 02,8.91
Cidade Negra,Acústico MTV [Live],8.91
Led Zeppelin,Led Zeppelin II,8.91
The Cult,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",8.91
Djavan,Djavan Ao Vivo - Vol. 1,8.91
Cássia Eller,Cássia Eller - Sem Limite [Disc 1],8.91
Incognito,Blue Moods,8.91
Planet Hemp,Os Cães Ladram Mas A Caravana Não Pára,8.91
Iron Maiden,Seventh Son of a Seventh Son,8.91
Falamansa,Deixa Entrar,7.92
Men At Work,The Best Of Men At Work,7.92
Jimi Hendrix,Are You Experienced?,7.92
Lulu Santos,Lulu Santos - RCA 100 Anos De Música - Álbum 01,7.92
Os Mutantes,Minha História,7.92
David Coverdale,Into The Light,7.92
Legião Urbana,Mais Do Mesmo,7.92
Iron Maiden,Live After Death,7.92
Funk Como Le Gusta,Roda De Funk,7.92
Godsmack,Faceless,7.92
Iron Maiden,No Prayer For The Dying,7.92
Alanis Morissette,Jagged Little Pill,7.92
Red Hot Chili Peppers,By The Way,7.92
Iron Maiden,Rock In Rio [CD2],7.92
Led Zeppelin,In Through The Out Door,7.92
Milton Nascimento,Milton Nascimento Ao Vivo,7.92
Page & Plant,Walking Into Clarksdale,7.92
Marisa Monte,Barulhinho Bom,7.92
Iron Maiden,Rock In Rio [CD1],7.92
House Of Pain,House of Pain,7.92
R.E.M.,Green,7.92
UB40,UB40 The Best Of - Volume Two [UK],7.92
Metallica,Garage Inc. (Disc 1),6.93
Antônio Carlos Jobim,Warner 25 Anos,6.93
Cidade Negra,Cidade Negra - Hits,6.93
O Rappa,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,6.93
Miles Davis,Miles Ahead,6.93
Van Halen,Diver Down,6.93
Iron Maiden,Virtual XI,6.93
The Black Crowes,Live [Disc 1],6.93
Def Leppard,Vault: Def Leppard's Greatest Hits,6.93
Buddy Guy,The Best Of Buddy Guy - The Millenium Collection,6.93
Pearl Jam,Riot Act,6.93
Mötley Crüe,Motley Crue Greatest Hits,6.93
The Cult,Beyond Good And Evil,6.93
Iron Maiden,A Real Dead One,6.93
JET,Get Born,6.93
Ozzy Osbourne,Speak of the Devil,6.93
Jamiroquai,Synkronized,6.93
Milton Nascimento,Minas,6.93
Nirvana,From The Muddy Banks Of The Wishkah [Live],6.93
The Police,The Police Greatest Hits,6.93
Led Zeppelin,Houses Of The Holy,6.93
The Rolling Stones,Voodoo Lounge,6.93
Black Sabbath,Black Sabbath Vol. 4 (Remaster),6.93
Alice In Chains,Facelift,6.93
The Black Crowes,Live [Disc 2],6.93
The Tea Party,Transmission,6.93
Metallica,St. Anger,6.93
Faith No More,The Real Thing,6.93
Marcos Valle,Chill: Brazil (Disc 1),6.93
Raimundos,Cesta Básica,6.93
The Office,"The Office, Season 1",5.97
U2,Achtung Baby,5.94
Pearl Jam,Pearl Jam,5.94
Various Artists,Axé Bahia 2001,5.94
Van Halen,Van Halen,5.94
Santana,Supernatural,5.94
Vinícius De Moraes,Vinicius De Moraes,5.94
Various Artists,Sambas De Enredo 2001,5.94
Led Zeppelin,IV,5.94
Led Zeppelin,Coda,5.94
Motörhead,Ace Of Spades,5.94
Van Halen,Van Halen III,5.94
Iron Maiden,Live At Donington 1992 (Disc 2),5.94
Velvet Revolver,Contraband,5.94
Audioslave,Audioslave,5.94
Various Artists,Carnaval 2001,5.94
Skank,Maquinarama,5.94
Metallica,Ride The Lightning,5.94
Pearl Jam,Vs.,5.94
Foo Fighters,The Colour And The Shape,5.94
Miles Davis,The Essential Miles Davis [Disc 1],5.94
Jamiroquai,Emergency On Planet Earth,5.94
Iron Maiden,Brave New World,5.94
Iron Maiden,A Matter of Life and Death,5.94
Rush,Retrospective I (1974-1980),5.94
Jorge Ben,Jorge Ben Jor 25 Anos,5.94
Amy Winehouse,Frank,5.94
Metallica,...And Justice For All,5.94
U2,All That You Can't Leave Behind,5.94
João Suplicy,Cafezinho,5.94
BackBeat,BackBeat Soundtrack,5.94
AC/DC,Let There Be Rock,5.94
Ed Motta,The Best of Ed Motta,5.94
Led Zeppelin,BBC Sessions [Disc 1] [Live],5.94
Foo Fighters,In Your Honor [Disc 2],5.94
Jota Quest,Jota Quest-1995,5.94
The Rolling Stones,No Security,5.94
Mônica Marianno,Demorou...,5.94
Audioslave,Revelations,4.95
Led Zeppelin,Presence,4.95
Deep Purple,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,4.95
Nirvana,Nevermind,4.95
Led Zeppelin,Physical Graffiti [Disc 2],4.95
The Rolling Stones,"Hot Rocks, 1964-1971 (Disc 1)",4.95
Black Label Society,Alcohol Fueled Brewtality Live! [Disc 1],4.95
Iron Maiden,Dance Of Death,4.95
Foo Fighters,In Your Honor [Disc 1],4.95
Cláudio Zoli,Na Pista,4.95
Iron Maiden,Piece Of Mind,4.95
Jamiroquai,The Return Of The Space Cowboy,4.95
Lulu Santos,Lulu Santos - RCA 100 Anos De Música - Álbum 02,4.95
Foo Fighters,One By One,4.95
Deep Purple,The Battle Rages On,4.95
Iron Maiden,Fear Of The Dark,4.95
Iron Maiden,Killers,4.95
"Terry Bozzio, Tony Levin & Steve Stevens",[1997] Black Light Syndrome,4.95
Marillion,Misplaced Childhood,4.95
Deep Purple,Purpendicular,4.95
Iron Maiden,Somewhere in Time,4.95
Audioslave,Out Of Exile,4.95
Deep Purple,Come Taste The Band,4.95
Gilberto Gil,As Canções de Eu Tu Eles,4.95
Paul D'Ianno,The Beast Live,4.95
Iron Maiden,A Real Live One,4.95
Scorpions,20th Century Masters - The Millennium Collection: The Best of Scorpions,4.95
Aquaman,Aquaman,3.98
Frank Zappa & Captain Beefheart,Bongo Fury,3.96
Iron Maiden,Live At Donington 1992 (Disc 1),3.96
Skank,O Samba Poconé,3.96
Joe Satriani,Surfing with the Alien (Remastered),3.96
Pink Floyd,Dark Side Of The Moon,3.96
Deep Purple,MK III The Final Concerts [Disc 1],3.96
Miles Davis,The Essential Miles Davis [Disc 2],3.96
Iron Maiden,Iron Maiden,3.96
Temple of the Dog,Temple of the Dog,3.96
Chris Cornell,Carry On,3.96
Deep Purple,Fireball,3.96
Deep Purple,Machine Head,3.96
Pearl Jam,Ten,3.96
Deep Purple,Stormbringer,3.96
The Doors,The Doors,3.96
Billy Cobham,The Best Of Billy Cobham,3.96
Dennis Chambers,Outbreak,3.96
Apocalyptica,Plays Metallica By Four Cellos,3.96
Deep Purple,Slaves And Masters,3.96
Black Label Society,Alcohol Fueled Brewtality Live! [Disc 2],2.97
Led Zeppelin,The Song Remains The Same (Disc 1),2.97
Deep Purple,Deep Purple In Rock,2.97
Ozzy Osbourne,No More Tears (Remastered),2.97
Santana,Santana Live,2.97
Accept,Restless and Wild,2.97
Santana,Santana - As Years Go By,2.97
"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",Purcell: Music for the Queen Mary,1.98
Led Zeppelin,Physical Graffiti [Disc 1],1.98
Emerson String Quartet,Schubert: The Late String Quartets & String Quintet (3 CD's),1.98
Chicago Symphony Orchestra & Fritz Reiner,Scheherazade,1.98
Led Zeppelin,The Song Remains The Same (Disc 2),1.98
Black Sabbath,Black Sabbath,1.98
Caetano Veloso,Sozinho Remix Ao Vivo,1.98
Ozzy Osbourne,Diary of a Madman (Remastered),1.98
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",Bach: Orchestral Suites Nos. 1 - 4,1.98
Accept,Balls to the Wall,1.98
Michael Tilson Thomas & San Francisco Symphony,Berlioz: Symphonie Fantastique,1.98
Gilberto Gil,Quanta Gente Veio ver--Bônus De Carnaval,1.98
Berliner Philharmoniker & Herbert Von Karajan,Mozart: Symphonies Nos. 40 & 41,0.99
Adrian Leaper & Doreen de Feis,Górecki: Symphony No. 3,0.99
Maurizio Pollini,Beethoven Piano Sonatas: Moonlight & Pastorale,0.99
"Roger Norrington, London Classical Players",Purcell: The Fairy Queen,0.99
Ozzy Osbourne,Blizzard of Ozz,0.99
Kent Nagano and Orchestre de l'Opéra de Lyon,Weill: The Seven Deadly Sins,0.99
Yo-Yo Ma,Bach: The Cello Suites,0.99
Edo de Waart & San Francisco Symphony,"Adams, John: The Chairman Dances",0.99
"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",Chopin: Piano Concertos Nos. 1 & 2,0.99
Eugene Ormandy,Respighi:Pines of Rome,0.99
Sir Georg Solti & Wiener Philharmoniker,Wagner: Favourite Overtures,0.99
Habib Koité and Bamada,Muso Ko,0.99
Dread Zeppelin,Un-Led-Ed,0.99
Calexico,Carried to Dust (Bonus Track Version),0.99
Ozzy Osbourne,Bark at the Moon (Remastered),0.99
The Posies,Every Kind of Light,0.99
Berliner Philharmoniker & Hans Rosbaud,Sibelius: Finlandia,0.99
Michael Tilson Thomas & San Francisco Symphony,Prokofiev: Romeo & Juliet,0.99
"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",Elgar: Cello Concerto & Vaughan Williams: Fantasias,0.99
Michele Campanella,Liszt - 12 Études D'Execution Transcendante,0.99
Antal Doráti & London Symphony Orchestra,"Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory",0.99
Academy of St. Martin in the Fields & Sir Neville Marriner,The World of Classical Favourites,0.99
Otto Klemperer & Philharmonia Orchestra,Beethoven: Symphony No. 6 'Pastoral' Etc.,0.99
Deep Purple,The Final Concerts (Disc 2),0.99
Luciana Souza/Romero Lubambo,Duos II,0.99
The King's Singers,English Renaissance,0.99
Scholars Baroque Ensemble,Handel: The Messiah (Highlights),0.99
Berliner Philharmoniker & Herbert Von Karajan,Grieg: Peer Gynt Suites & Sibelius: Pelléas et Mélisande,0.99
English Concert & Trevor Pinnock,Pachelbel: Canon & Gigue,0.99
Martin Roscoe,"Szymanowski: Piano Works, Vol. 1",0.99
Orchestra of The Age of Enlightenment,Bach: The Brandenburg Concertos,0.99
Julian Bream,"J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro",0.99
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair","Fauré: Requiem, Ravel: Pavane & Others",0.99
The 12 Cellists of The Berlin Philharmonic,South American Getaway,0.99
Eugene Ormandy,"Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies",0.99
Royal Philharmonic Orchestra & Sir Thomas Beecham,Haydn: Symphonies 99 - 104,0.99
Philharmonia Orchestra & Sir Neville Marriner,Mendelssohn: A Midsummer Night's Dream,0.99
Yehudi Menuhin,Bartok: Violin & Viola Concertos,0.99
Göteborgs Symfoniker & Neeme Järvi,Nielsen: The Six Symphonies,0.99
